Type,Trans Date,Post Date,Description,Amount
SALE,12/30/2017,12/31/2017,"GOOGLE*ADWS7322355579",-4.35
SALE,12/25/2017,12/26/2017,"SIMPLEMOBILE*SERVICES",-42.60
FEE,12/20/2017,12/20/2017,"PURCHASE INTEREST CHARGE",-49.06
FEE,12/20/2017,12/20/2017,"CASH ADVANCE INTEREST CHA",-12.75
SALE,12/11/2017,12/12/2017,"HEROKU NOV-14468208",-49.54
SALE,12/03/2017,12/04/2017,"Amazon web services",-1.50
SALE,11/29/2017,11/30/2017,"GOOGLE *ADWS7322355579",-253.71
PAYMENT,11/29/2017,11/29/2017,"Payment Thank You - Web",300.00
PAYMENT,11/27/2017,11/27/2017,"Payment Thank You - Web",119.00
SALE,11/25/2017,11/26/2017,"SIMPLEMOBILE*SERVICES",-41.40
FEE,11/21/2017,11/21/2017,"CASH ADVANCE INTEREST CHA",-21.42
FEE,11/21/2017,11/21/2017,"PURCHASE INTEREST CHARGE",-48.69
SALE,11/15/2017,11/16/2017,"HEROKU OCT-13854241",-46.01
PAYMENT,11/14/2017,11/15/2017,"Payment Thank You - Web",200.00
SALE,11/03/2017,11/05/2017,"Amazon web services",-1.88
SALE,10/26/2017,10/27/2017,"SIMPLEMOBILE*SERVICES",-41.40
PAYMENT,10/23/2017,10/23/2017,"Payment Thank You - Web",119.00
FEE,10/20/2017,10/20/2017,"CASH ADVANCE INTEREST CHA",-21.36
FEE,10/20/2017,10/20/2017,"PURCHASE INTEREST CHARGE",-47.77
SALE,10/12/2017,10/13/2017,"HEROKU SEP-13254158",-46.19
PAYMENT,10/09/2017,10/09/2017,"Payment Thank You - Web",121.00
SALE,10/03/2017,10/04/2017,"Amazon web services",-3.27
FEE,09/21/2017,09/21/2017,"PURCHASE INTEREST CHARGE",-48.89
FEE,09/21/2017,09/21/2017,"CASH ADVANCE INTEREST CHA",-21.60
SALE,09/13/2017,09/14/2017,"HEROKU AUG-12827960",-46.15
SALE,09/03/2017,09/04/2017,"Amazon web services",-2.12
PAYMENT,08/24/2017,08/24/2017,"Payment Thank You - Web",121.00
FEE,08/21/2017,08/21/2017,"CASH ADVANCE INTEREST CHA",-21.13
FEE,08/21/2017,08/21/2017,"PURCHASE INTEREST CHARGE",-49.10
SALE,08/09/2017,08/10/2017,"HEROKU JUL-12410254",-42.06
SALE,08/03/2017,08/04/2017,"GOOGLE *ADWS7322355579",-37.02
SALE,08/03/2017,08/04/2017,"Amazon web services",-1.43
PAYMENT,07/24/2017,07/24/2017,"Payment Thank You - Web",118.00
FEE,07/21/2017,07/21/2017,"CASH ADVANCE INTEREST CHA",-20.01
FEE,07/21/2017,07/21/2017,"PURCHASE INTEREST CHARGE",-47.87
SALE,07/11/2017,07/12/2017,"HEROKU JUN-11994093",-41.94
SALE,07/03/2017,07/04/2017,"Amazon web services",-0.77
PAYMENT,07/03/2017,07/03/2017,"Payment Thank You - Web",115.00
SALE,06/29/2017,07/02/2017,"MCDONALD'S F4210",-4.98
SALE,06/29/2017,07/02/2017,"DUNKIN #338749     Q35",-3.98
SALE,06/28/2017,06/30/2017,"MCDONALD'S F4210",-1.09
SALE,06/27/2017,06/29/2017,"DUNKIN #338749     Q35",-6.28
SALE,06/26/2017,06/28/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/26/2017,06/28/2017,"MCDONALD'S F4210",-1.95
SALE,06/24/2017,06/26/2017,"DUNKIN #338749     Q35",-4.99
SALE,06/23/2017,06/25/2017,"MTA MVM*N310-QUEENS PLA",-20.00
SALE,06/23/2017,06/25/2017,"SIMPLEMOBILE*SERVICES",-41.47
SALE,06/21/2017,06/23/2017,"DUNKIN #338749     Q35",-5.41
SALE,06/20/2017,06/22/2017,"DUNKIN #338749     Q35",-4.99
FEE,06/21/2017,06/21/2017,"CASH ADVANCE INTEREST CHA",-18.87
FEE,06/21/2017,06/21/2017,"PURCHASE INTEREST CHARGE",-47.15
SALE,06/19/2017,06/21/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/15/2017,06/18/2017,"DUNKIN #338749     Q35",-4.99
SALE,06/15/2017,06/18/2017,"MCDONALD'S F4210",-1.09
SALE,06/14/2017,06/16/2017,"DUNKIN #338749     Q35",-2.49
SALE,06/14/2017,06/16/2017,"DUNKIN #338749     Q35",-4.99
SALE,06/13/2017,06/15/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/12/2017,06/14/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/11/2017,06/13/2017,"DUNKIN #338749     Q35",-4.99
SALE,06/12/2017,06/13/2017,"HEROKU MAY-11587174",-55.02
SALE,06/10/2017,06/11/2017,"CAFE MAX",-16.00
SALE,06/10/2017,06/11/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/08/2017,06/11/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/09/2017,06/11/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/07/2017,06/09/2017,"DUNKIN #338749     Q35",-3.79
SALE,06/07/2017,06/09/2017,"MCDONALD'S F4210",-1.09
SALE,06/06/2017,06/08/2017,"MCDONALD'S F4210",-1.09
SALE,06/05/2017,06/07/2017,"DUNKIN #338749     Q35",-2.49
CASH,06/06/2017,06/07/2017,"WU *3209829463",-112.00
FEE,06/07/2017,06/07/2017,"TRANSACTION FEE",-15.00
SALE,06/04/2017,06/05/2017,"STOLOVAYA",-70.00
SALE,06/02/2017,06/04/2017,"SUBWAY        03480563",-17.96
SALE,06/01/2017,06/04/2017,"DUNKIN #338749     Q35",-2.49
SALE,06/04/2017,06/04/2017,"Amazon web services",-0.59
SALE,05/30/2017,06/01/2017,"DUNKIN #338749     Q35",-2.49
PAYMENT,06/01/2017,06/01/2017,"Payment Thank You - Web",101.00
SALE,05/29/2017,05/31/2017,"DUNKIN #338749     Q35",-2.49
SALE,05/28/2017,05/30/2017,"MTA MVM*B025-AVENUE U",-20.00
SALE,05/26/2017,05/29/2017,"MERCURY BAR",-41.00
SALE,05/27/2017,05/28/2017,"SLATE RESTAURANT BAR BILL",-15.00
SALE,05/26/2017,05/28/2017,"UPCASE",-29.00
SALE,05/27/2017,05/28/2017,"SLATE RESTAURANT BAR BILL",-30.00
SALE,05/24/2017,05/25/2017,"SIMPLEMOBILE*SERVICES",-41.47
