jkjType,Post Date,Description,Amount,Check or Slip #
CREDIT,12/29/2017,"MOTION RECRUITME PAYROLL                    PPD ID: 1133789932",385.24,
DEBIT,12/28/2017,"MTA MVM*B025-AVENUE U NEW YORK NY            12/27",-26.25,
DEBIT,12/28/2017,"SQ *BLACK DOOR New York NY                   12/27",-22.80,
DEBIT,12/28/2017,"O'REILLY'S PUB & REST NEW YORK NY            12/27",-26.00,
DEBIT,12/26/2017,"NEW YORK SUPERMARKET - BROOKLYN NY           12/22",-37.46,
DEBIT,12/26/2017,"APPLEBEES 969061996906 BROOKLYN NY           12/23",-85.00,
DEBIT,12/26/2017,"EMMONS DELI BROOKLYN NY                      12/23",-12.50,
CREDIT,12/22/2017,"MOTION RECRUITME PAYROLL                    PPD ID: 1133789932",707.63,
DEBIT,12/19/2017,"NEW YORK SUPERMARKET - BROOKLYN NY           12/18",-33.82,
DEBIT,12/15/2017,"ATM WITHDRAWAL                       002629  12/151722 AVEN",-20.00,
DEBIT,12/15/2017,"WALGREENS STORE 2590 C BROOKLYN NY   947252  12/15",-14.74,
DEBIT,12/14/2017,"MTA MVM*B025-AVENUE U NEW YORK NY            12/13",-26.25,
DEBIT,12/14/2017,"SQ *KAFFE 1668 New York NY                   12/13",-3.26,
DEBIT,12/14/2017,"Payment to Chase card ending in 9281 12/14",-2281.86,
DEBIT,12/11/2017,"TGI_FRIDAYS #2838 BROOKLYN NY                12/10",-40.00,
DEBIT,12/07/2017,"NEW YORK SUPERMARKET - BROOKLYN NY           12/06",-26.26,
DSLIP,12/06/2017,"Cash Redemption",7.82,
DSLIP,12/06/2017,"Cash Redemption",3.49,
DEBIT,12/05/2017,"QuickPay with Zelle payment to Iurie Gajev 6722326876",-450.00,
DEBIT,12/04/2017,"STOLOVAYA BROOKLYN NY                        12/03",-103.91,
DEBIT,11/29/2017,"Payment to Chase card ending in 7142 11/29",-300.00,
DEBIT,11/27/2017,"Payment to Chase card ending in 7570 11/27",-58.00,
