Transaction,Amount
ATM CASH DEPOSIT,300.0
GOOGLE           TEST       US0012C6DN      CCD ID: C770493581,0.51
INSUFFICIENT FUNDS,-34.0
MONTHLY SERVICE FEE,-130.0
NYC DEPT OF FINA TAXPAYMENT 866972672       CCD ID: 6136400434,-25.0
NYS DTF CT       Tax Paymnt 000000017770347 CCD ID: G146013200,-32.0
Online Transfer to CHK ...2616 transaction#: 6093785733 03/22,-100.0
PHILLIPS AUCTION DIRECT DEP                 PPD ID: 9111111103,735.0
Payment for EAD,-444.0
Payment to Chase card 7142(biz credit),-175.0
Payment to Chase card 7570(unlimited),-75.0
Payment to Chase card 9553(freedom),-25.0
Transfer from 2616,375.0
to Iurie Gajev,-350.0
