Transaction,Amount
ATM CASH DEPOSIT,720.0
ATM CHECK DEPOSIT,2311.13
ATM WITHDRAWL,-1063.0
Bars and Food,-1451.080000000001
Cash Redemption,303.39
DEPOSIT  ID NUMBER 677532,800.0
MONTHLY SERVICE FEE,-178.0
MOTION RECRUITME PAYROLL,7292.920000000001
MTA,-326.73
NON-CHASE ATM FEE-WITH,-2.5
Online Transfer to 3623,-375.0
PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,1776.3600000000001
Payment to Chase card 7142(biz credit),-1604.0
Payment to Chase card 7570(unlimited),-385.0
Payment to Chase card 9281(aarp),-2921.86
Payment to Chase card 9553(freedom),-293.33
Transfer from 3623,100.0
WESTERN UNION,-812.0
from ALLAN,800.0
from IURIE GAJEV,300.0
to Allan Yarmulnik,-500.0
to Iurie Gajev,-3890.0
PURCHASE INTEREST CHARGE,-581.47
Payment Thank You - Web,4179.1900000000005
GOOGLE           TEST       US0012C6DN      CCD ID: C770493581,0.51
INSUFFICIENT FUNDS,-34.0
NYC DEPT OF FINA TAXPAYMENT 866972672       CCD ID: 6136400434,-25.0
NYS DTF CT       Tax Paymnt 000000017770347 CCD ID: G146013200,-32.0
Online Transfer to CHK ...2616 transaction#: 6093785733 03/22,-100.0
PHILLIPS AUCTION DIRECT DEP                 PPD ID: 9111111103,735.0
Payment for EAD,-444.0
Transfer from 2616,375.0
CASH ADVANCE INTEREST CHA,-254.78
NEW YORK STATE DMV,-81.5
Amazon web services,-14.089999999999998
Dos Toros,-12.25
GOOGLE,-295.08
HEROKU,-626.53
SIMPLEMOBILE*SERVICES,-374.22
TRANSACTION FEE,-15.0
UPCASE,-58.0
WU *3209829463,-112.0
