Type,Trans Date,Post Date,Description,Amount
SALE,11/17/2017,11/19/2017,"C-TOWN SUPERMARKET",-24.58
SALE,11/27/2017,11/27/2017,"ACE WINE & LIQUOR.",-11.97
FEE,11/24/2017,11/24/2017,"CASH ADVANCE INTEREST CHA",-19.55
PAYMENT,11/04/2017,11/05/2017,"Payment Thank You - Web",55.00
SALE,10/27/2017,10/29/2017,"MCDONALD'S F4210",-1.09
SALE,11/28/2017,11/29/2017,"NEW YORK STATE DMV",-81.50
SALE,11/24/2017,11/24/2017,"ACE WINE & LIQUOR.",-25.02
SALE,11/11/2017,11/13/2017,"NEW YORK SUPERMARKET -",-22.08
SALE,11/04/2017,11/06/2017,"NEW YORK SUPERMARKET -",-13.44
SALE,11/26/2017,11/28/2017,"NEW YORK SUPERMARKET -",-41.38
SALE,11/30/2017,12/01/2017,"DUNKIN #338749 Q35",-4.01
SALE,11/27/2017,11/29/2017,"MCDONALD'S F4210",-1.09
PAYMENT,11/27/2017,11/27/2017,"Payment Thank You - Web",58.00
FEE,12/25/2017,12/25/2017,"CASH ADVANCE INTEREST CHA",-19.52
SALE,11/30/2017,11/30/2017,"ACE WINE & LIQUOR.",-22.84
SALE,11/06/2017,11/08/2017,"MTA MVM*R117-FRANKLIN S",-20.95
SALE,11/18/2017,11/19/2017,"ACE WINE & LIQUOR.",-10.88
FEE,12/25/2017,12/25/2017,"PURCHASE INTEREST CHARGE",-61.61
SALE,10/30/2017,10/30/2017,"CAFE MAX",-75.00
SALE,11/12/2017,11/14/2017,"NEW YORK SUPERMARKET -",-15.85
SALE,11/21/2017,11/23/2017,"NEW YORK SUPERMARKET -",-20.69
SALE,11/05/2017,11/06/2017,"DUNKIN #338749 Q35",-2.49
